,account,caption,profile_name,biography,id,following,likes,posts_count,followers,is_verified,datetime,image_url,url,comments,video_view_count,video_url,timestamp,adultScore,racyScore,goreScore,isBWImg,clipArtType,lineDrawingType,tokens
6,georgina_bst,"A tiny little town with big character ##sanjuancapistrano 
.
. 
.
.
.
#photography #explore #moments #westcoast #architecture #digitalnomad #nomadiclife #nomadlifestyle #nomads #wanderer",Georgina Borneman-Street,"VFX Producer, Designer & Entrepreneur. Passionate about traveling, design and film  |  @street.designed | @cobaltblue1802",2.68E+18,304,33,611,1785,0,1633533752,j_kvihwg0g1c283e3byk.d3b260f90252d61b964194b59ada46035ad6810c.file_kvihxbrygj2q2ai9z.image_url.jpg,https://www.instagram.com/p/CUsSm4gFRh_/,0,0,,2021-11-02T19:40:37.104Z,0.002032852,0.003425369,0.000999508,0,0,0,"['White', 'outdoor', 'sky', 'cloud', 'palm', 'tree', 'arecales', 'building', 'ground', 'plant', 'palm', 'tree', 'house', 'sky', 'outdoor', 'tree', 'plant', 'stone', 'garden', 'tree', 'tree']"
7,georgina_bst,"Colours in the city #fallleaves 
.
.
. 
.
.
. 
#vancouver #britishcolumbia #bc #vancity#explorebc #canada #raincity #explore #scenic #camera #nature #city #fall #2021 #getoutthere #exploretocreate",Georgina Borneman-Street,"VFX Producer, Designer & Entrepreneur. Passionate about traveling, design and film  |  @street.designed | @cobaltblue1802",2.70E+18,304,38,611,1785,0,1635725537,j_kvihwg0g1c283e3byk.d3b260f90252d61b964194b59ada46035ad6810c.file_kvihxctc15d6u97ma1.image_url.jpg,https://www.instagram.com/p/CVtnGzhPFsG/,0,0,,2021-11-02T19:40:37.104Z,0.001448534,0.002524843,0.001082179,0,0,0,"['Brown', 'outdoor', 'fall', 'plant', 'autumn', 'land', 'vehicle', 'vehicle', 'tree', 'deciduous', 'maple', 'car', 'waste', 'container', 'ground', 'street', 'parked', 'leaf', 'tree', 'outdoor', 'park', 'plant', 'maple', 'surrounded', 'Land', 'vehicle', 'Land', 'vehicle', 'Maple']"
8,georgina_bst,"Beautiful Muralâ�  #palmspringsâ� 
.â� â� 
.â� â� 
.â� â� 
.â� â� 
.â� â� 
#view #art #photography #nofilter #creativephotography #mural #spraypaintart #stencilart #streetart #urbanart #art #camera #graffitiuk #mural #art #cartoon #urbanart #muralart #wallart #artist #artwork #streetarteverywhere #murals #exploretocreate #portrait â� ",Georgina Borneman-Street,"VFX Producer, Designer & Entrepreneur. Passionate about traveling, design and film  |  @street.designed | @cobaltblue1802",2.67E+18,304,77,611,1785,0,1632880222,j_kvihwg0g1c283e3byk.d3b260f90252d61b964194b59ada46035ad6810c.file_kvihxd2t25p1jlqtzy.image_url.jpg,https://www.instagram.com/p/CUY0GQ_l5ua/,2,0,,2021-11-02T19:40:37.104Z,0.001273613,0.00224391,0.000745448,0,0,0,"['Grey', 'White', 'painting', 'building', 'art', 'tree', 'drawing', 'outdoor', 'outdoor', 'building', 'stone', 'arch', 'person']"
9,georgina_bst,"Vancouver library #iconic
.
.
. 
.
.
. 
#vancouver #britishcolumbia #bc #vancity #canada #raincity #explore #camera #city #fall #2021 #getoutthere #library #architecture #design",Georgina Borneman-Street,"VFX Producer, Designer & Entrepreneur. Passionate about traveling, design and film  |  @street.designed | @cobaltblue1802",2.70E+18,304,29,611,1785,0,1635716544,j_kvihwg0g1c283e3byk.d3b260f90252d61b964194b59ada46035ad6810c.file_kvihxe8q1h3l0ggzto.image_url.jpg,https://www.instagram.com/p/CVtV8_rvJUl/,0,0,,2021-11-02T19:40:37.104Z,0.001356059,0.00246806,0.000754655,0,0,0,"['Black', 'Grey', 'outdoor', 'window', 'tree', 'sky', 'cloud', 'building', 'city', 'facade', 'daytime', 'architecture', 'real', 'estate', 'mixed-use', 'property', 'large', 'outdoor', 'tree', 'sky', 'building', 'apartment', 'building', 'tall']"
10,greensurgery,"JuÅ¼ 6.08 w Green Surgery w Londynie kolejna edycja zabiegÃ³w MonaLisa Touch! Nie przegap okazji, umÃ³w siÄ™ na konsultacjÄ™ kwalifikujÄ…cÄ… juÅ¼ dziÅ›! Dla chcÄ…cych poznaÄ‡ walory ginekologii estetycznej, artykuÅ‚ :  http://ow.ly/XAvxp
#monalisatouch #greensurgery #greenwich #gynaecology #motherhood #woman #laser #gynaecologist #health #zdrowie #polskilekarz",Green Surgery,"Medical centre - London Greenwich, Manchester",1.29E+18,147,6,39,92,0,1467884284,j_kvihwg0g1c283e3byk.f12c7d8fa21d733d964ebaafa74f1b678a237530.file_kvihxad513rxav7c1y.image_url.jpg,https://www.instagram.com/p/BHjjUoIjmW_/,1,0,,2021-11-02T19:40:33.633Z,0.019444849,0.987962902,0.000977575,0,0,0,"['White', 'model', 'photo', 'shoot', 'long', 'hair', 'art', 'model', 'clothing', 'fashion', 'model', 'person', 'human', 'face', 'girl', 'lady', 'stomach', 'fashion', 'female', 'person', 'blond', 'thigh', 'erotic', 'literature', 'lingerie', 'woman', 'clothing', 'woman', 'person', 'girl', 'person']"
11,greensurgery,"Czy znasz juÅ¼ pakiet Mama i Ja? 
JeÅ›li nie, sprawdÅº koniecznie  http://www.green-surgery.com/pakiety-i-promocje/londyn/aktualne-promocje/  #mumandi #mumandbaby #package #healthy #future #safety #affordable #greensurgery",Green Surgery,"Medical centre - London Greenwich, Manchester",1.24E+18,147,5,39,92,0,1461656101,j_kvihwg0g1c283e3byk.f12c7d8fa21d733d964ebaafa74f1b678a237530.file_kvihxaf3whky6lb1p.image_url.jpg,https://www.instagram.com/p/BEp8AYqH2K7/,0,0,,2021-11-02T19:40:33.633Z,0.003634547,0.021537554,0.002449482,0,1,0,"['White', 'human', 'face', 'person', 'skin', 'child', 'baby', 'toddler', 'indoor', 'girl', 'person', 'indoor', 'laying', 'baby', 'person']"
12,greensurgery,"Jest nas juÅ¼ prawie SIEDEM tysiÄ™cy na portalu Facebook! DziÄ™kujemy za zaufanie!

Z tej okazji organizujemy konkurs :) Dla naszego siedmio tysiÄ™cznego fana oferujemy voucher na badania do laboratorium ZA DARMO!* BÄ…dÅº zwyciÄ™zcÄ…! Zdrowym ZwyciÄ™zcÄ…! :) *voucher opiewa na panele : kostny, nerkowy, peÅ‚na biochemia i hematologia, panel poszerzony, skrÃ³cona biochemia, wÄ…trobowo - trzustkowy, panel niedokrwistoÅ›ci (anemii), panel dla kobiet podejmujÄ…cych lub stosujÄ…cych antykoncepcjÄ™ hormonalnÄ…. 
Do wyboru jeden panel. 
ZachÄ™camy do wziÄ™cia udziaÅ‚u w zabawie!

#greensurgery #london #greenwich #manchester #surgery #health #contest #facebook",Green Surgery,"Medical centre - London Greenwich, Manchester",1.25E+18,147,8,39,92,0,1463736832,j_kvihwg0g1c283e3byk.f12c7d8fa21d733d964ebaafa74f1b678a237530.file_kvihxagxwm60a4uhj.image_url.jpg,https://www.instagram.com/p/BFn8r1Dn2Ei/,0,0,,2021-11-02T19:40:33.633Z,0.075572513,0.089603849,0.004833773,0,3,0,"['Red', 'text', 'crown', 'font', 'accessory', 'logo', 'crown', 'jewels', 'design', 'logo', 'company', 'name', 'logo,', 'company', 'name', 'Crown']"
0,londonplastics,"This is the perfect time of year to get in for all your @coolsculpting needs!!
Donâ€™t forget we are offering 20% off of your first round of Coolsculpting! 
Contact us for a complementary consultation âœ¨
ðŸ“ž519-850-5435
ðŸ“§ info@londonplasticsurgery.ca

â€¢
â€¢
â€¢
#coolsculpting #fatfreezing #cosmeticdentistry #plasticsurgery #plasticsurgeon",London Plastic Surgery,"London's Top Plastic Surgery Clinic ðŸ�¥
â€¢ Dr. Matic M.D. M.SC, FRCS(C) Board Certified Plastic Surgeon
â€¢ Injections, Coolsculpting, Skincare & More",2.66E+18,1030,29,432,4677,0,1631722688,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimsc6e8w83dsqf9.image_url.jpg,https://www.instagram.com/p/CT2T1xbhw6b/,1,383,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimtok8nwxghksqm.video_url.mp4,2021-11-02T21:58:37.378Z,0.01855984,0.021335816,0.002218273,0,0,0,"['Grey', 'medical', 'equipment', 'machine', 'healthcare', 'indoor', 'device', 'appliance', 'Medical', 'equipment']"
1,londonplastics,"Spooky season? No way - itâ€™s Hydrafacial season!! @hydrafacial 
Get booked in and glowing!
519-850-5435
booking@londonplasticsurgery.ca

#hydrafacial #skincare #skincareroutine #plasticsurgery #plasticsurgeon #cosmetics #cosmeticdentistry #medical",London Plastic Surgery,"London's Top Plastic Surgery Clinic ðŸ�¥
â€¢ Dr. Matic M.D. M.SC, FRCS(C) Board Certified Plastic Surgeon
â€¢ Injections, Coolsculpting, Skincare & More",2.69E+18,1030,39,432,4677,0,1634830668,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimsbzm2mrr27lal9.image_url.jpg,https://www.instagram.com/p/CVS7_1lhWAs/,0,738,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimu6cl28l2gyq2og.video_url.mp4,2021-11-02T21:58:37.378Z,0.544945776,0.743180335,0.016718579,0,0,0,"['Pink', 'Grey', 'person', 'finger', 'wrist', 'nail', 'thumb', 'medical', 'equipment', 'woman', 'indoor', 'person', 'indoor', 'baby']"
2,londonplastics,Lips!! ðŸ’‹ðŸ’‹ @cosmeticnurse_mariam doing her thing ðŸ™ŒðŸ�»,London Plastic Surgery,"London's Top Plastic Surgery Clinic ðŸ�¥
â€¢ Dr. Matic M.D. M.SC, FRCS(C) Board Certified Plastic Surgeon
â€¢ Injections, Coolsculpting, Skincare & More",2.66E+18,1030,78,432,4677,0,1631286897,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimscy01ik6ri2zw4.image_url.jpg,https://www.instagram.com/p/CTpU8wnFh46/,6,1058,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimu7wnbt5nfd7yp.video_url.mp4,2021-11-02T21:58:37.378Z,0.048119053,0.051960301,0.0103953,0,0,0,"['Grey', 'Brown', 'human', 'face', 'person', 'clothing', 'child', 'skin', 'baby', 'toddler', 'indoor', 'woman', 'newborn', 'girl', 'person', 'person', 'person']"
3,londonplastics,"This is the perfect time of year to get in for a Hydrafacial! Get that glowing, fresh skin for fall ðŸ�‚âœ¨ @hydrafacial @hydrafacial.canada 
â€¢
â€¢
â€¢
#hydrafacial #ontario #londonontario #facial #skincare #fall #519local",London Plastic Surgery,"London's Top Plastic Surgery Clinic ðŸ�¥
â€¢ Dr. Matic M.D. M.SC, FRCS(C) Board Certified Plastic Surgeon
â€¢ Injections, Coolsculpting, Skincare & More",2.66E+18,1030,61,432,4677,0,1631023731,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimscw22me66bwona.image_url.jpg,https://www.instagram.com/p/CThe5pJnBK5/,0,1042,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimua6k1y5oans7zp.video_url.mp4,2021-11-02T21:58:37.378Z,0.050428677,0.055679843,0.004431471,0,0,0,"['White', 'Grey', 'Black', 'person', 'indoor', 'medical', 'equipment', 'wall', 'clothing', 'healthcare', 'medical', 'woman', 'computer', 'floor', 'girl', 'person', 'indoor', 'person', 'person']"
4,londonplastics,"BBL @sciton_inc ðŸ™ŒðŸ�» Get that skin glowing âœ¨
â€¢
â€¢
â€¢
#laser #bbl #bbllaser #sciton #skincare #zap #plasticsurgery #cosmetics",London Plastic Surgery,"London's Top Plastic Surgery Clinic ðŸ�¥
â€¢ Dr. Matic M.D. M.SC, FRCS(C) Board Certified Plastic Surgeon
â€¢ Injections, Coolsculpting, Skincare & More",2.65E+18,1030,38,432,4677,0,1630524331,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimsbwu1i8dxnxan2.image_url.jpg,https://www.instagram.com/p/CTSmbaoF8XR/,1,688,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimupwc1d0ewxzjz0.video_url.mp4,2021-11-02T21:58:37.378Z,0.007795867,0.009980447,0.000719174,0,0,0,"['Grey', 'indoor', 'wall', 'sink', 'person', 'medical', 'equipment', 'healthcare', 'bathroom', 'household', 'supply', 'plumbing', 'fixture', 'plastic', 'wall', 'indoor', 'sink', 'sink']"
5,londonplastics,Always keeping it clean between patients âœ¨âœ¨,London Plastic Surgery,"London's Top Plastic Surgery Clinic ðŸ�¥
â€¢ Dr. Matic M.D. M.SC, FRCS(C) Board Certified Plastic Surgeon
â€¢ Injections, Coolsculpting, Skincare & More",2.61E+18,1030,71,432,4677,0,1625939386,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimsced15z6zftn6.image_url.jpg,https://www.instagram.com/p/CRJ9UV1nRxf/,3,1288,j_kvihwg0g1c283e3byk.480cece25fada35c457919bd4bc47ebe5aaa23a4.file_kvimuvbb1dkkf80xmd.video_url.mp4,2021-11-02T21:58:37.378Z,0.059906125,0.073008068,0.005919543,0,0,0,"['Grey', 'person', 'wall', 'indoor', 'bathroom', 'plumbing', 'fixture', 'bathtub', 'sink', 'woman', 'toilet', 'indoor', 'person']"
